date,ticker,direction,alpha_name
2015-01-26,HYG,1,alpha_mean_reversion
2015-01-27,HYG,1,alpha_mean_reversion
2015-01-27,SPY,1,alpha_mean_reversion
2015-01-28,HYG,1,alpha_mean_reversion
2015-01-29,HYG,1,alpha_mean_reversion
2015-02-02,EEM,1,alpha_mean_reversion
2015-02-02,HYG,1,alpha_mean_reversion
2016-03-02,HYG,-1,alpha_mean_reversion
2016-11-07,QQQ,1,alpha_mean_reversion
2016-11-14,HYG,1,alpha_mean_reversion
2017-04-17,XLF,1,alpha_mean_reversion
2017-08-11,HYG,1,alpha_mean_reversion
2017-11-10,HYG,1,alpha_mean_reversion
2017-11-14,HYG,1,alpha_mean_reversion
2017-11-15,HYG,1,alpha_mean_reversion
2017-11-16,HYG,1,alpha_mean_reversion
2018-02-06,IWM,1,alpha_mean_reversion
2018-02-06,SPY,1,alpha_mean_reversion
2018-02-09,IWM,1,alpha_mean_reversion
2018-02-09,SPY,1,alpha_mean_reversion
2018-03-26,XLF,1,alpha_mean_reversion
2018-10-08,IWM,1,alpha_mean_reversion
2018-10-09,IWM,1,alpha_mean_reversion
2018-10-10,IWM,1,alpha_mean_reversion
2018-10-11,HYG,1,alpha_mean_reversion
2018-10-11,QQQ,1,alpha_mean_reversion
2018-10-11,SPY,1,alpha_mean_reversion
2018-10-15,SPY,1,alpha_mean_reversion
2018-10-16,SPY,1,alpha_mean_reversion
2019-08-06,QQQ,1,alpha_mean_reversion
2019-08-06,SPY,1,alpha_mean_reversion
2020-02-26,SPY,1,alpha_mean_reversion
2020-02-27,SPY,1,alpha_mean_reversion
2020-02-28,HYG,1,alpha_mean_reversion
2020-02-28,QQQ,1,alpha_mean_reversion
2020-03-02,QQQ,1,alpha_mean_reversion
2020-06-08,XLE,-1,alpha_mean_reversion
2020-11-18,XLE,-1,alpha_mean_reversion
2020-12-16,USO,-1,alpha_mean_reversion
2020-12-17,USO,-1,alpha_mean_reversion
2020-12-18,USO,-1,alpha_mean_reversion
2020-12-21,USO,-1,alpha_mean_reversion
2021-01-11,USO,-1,alpha_mean_reversion
2021-01-12,USO,-1,alpha_mean_reversion
2021-01-13,USO,-1,alpha_mean_reversion
2021-01-14,USO,-1,alpha_mean_reversion
2021-01-15,USO,-1,alpha_mean_reversion
2021-06-21,XLF,1,alpha_mean_reversion
2021-07-20,IWM,1,alpha_mean_reversion
2021-07-20,XLE,1,alpha_mean_reversion
2021-10-05,QQQ,1,alpha_mean_reversion
2022-01-21,VNQ,1,alpha_mean_reversion
2022-01-24,SPY,1,alpha_mean_reversion
2022-01-24,VNQ,1,alpha_mean_reversion
2022-01-25,SPY,1,alpha_mean_reversion
2022-01-25,VNQ,1,alpha_mean_reversion
2022-01-26,VNQ,1,alpha_mean_reversion
2022-01-27,VNQ,1,alpha_mean_reversion
2022-06-21,XLE,1,alpha_mean_reversion
2022-08-01,VNQ,-1,alpha_mean_reversion
2022-08-09,IWM,-1,alpha_mean_reversion
2022-12-05,TLT,-1,alpha_mean_reversion
2022-12-08,TLT,-1,alpha_mean_reversion
2022-12-09,TLT,-1,alpha_mean_reversion
2024-04-22,QQQ,1,alpha_mean_reversion
2024-10-15,TLT,1,alpha_mean_reversion
2025-03-12,XLF,1,alpha_mean_reversion
2025-03-13,XLF,1,alpha_mean_reversion
2025-03-14,XLF,1,alpha_mean_reversion
2026-03-23,GLD,1,alpha_mean_reversion
2026-03-24,GLD,1,alpha_mean_reversion
2026-03-25,GLD,1,alpha_mean_reversion
